indice,Lancelot,Bob (Dumb),Charlie (Dumb),David (Dumb)
4106,260,60,260,60
4107,30,210,30,210
4108,80,160,80,160
4109,0,240,0,240
4110,270,60,270,60
4111,80,170,80,170
4112,80,160,80,160
4113,270,60,270,60
4114,50,190,50,190
4115,410,0,410,0
4116,30,220,30,220
4117,40,200,40,200
4118,260,60,260,60
4119,50,190,50,190
4120,80,170,80,170
4121,310,10,310,10
4122,0,240,0,240
4123,290,30,290,30
4124,50,190,50,190
4125,0,240,0,240
4126,0,250,0,250
4127,60,190,60,190
4128,250,70,250,70
4129,260,60,260,60
4130,60,180,60,180
4131,300,30,300,30
4132,30,210,30,210
4133,30,210,30,210
4134,0,330,0,330
4135,270,50,270,50
4136,0,330,0,330
4137,50,200,50,200
4138,260,70,260,70
4139,250,70,250,70
4140,80,160,80,160
4141,0,330,0,330
4142,10,230,10,230
4143,410,0,410,0
4144,410,0,410,0
4145,60,190,60,190
4146,80,170,80,170
4147,60,180,60,180
4148,0,330,0,330
4149,290,30,290,30
4150,0,240,0,240
4151,10,230,10,230
4152,0,250,0,250
4153,60,180,60,180
4154,80,160,80,160
4155,80,160,80,160
4156,60,180,60,180
4157,290,30,290,30
4158,0,240,0,240
4159,20,220,20,220
4160,40,200,40,200
4161,310,10,310,10
4162,0,330,0,330
4163,410,0,410,0
4164,30,210,30,210
4165,290,40,290,40
4166,0,240,0,240
4167,250,70,250,70
4168,60,180,60,180
4169,410,0,410,0
4170,60,180,60,180
4171,280,40,280,40
4172,30,210,30,210
4173,50,190,50,190
4174,0,330,0,330
4175,80,160,80,160
4176,0,240,0,240
4177,310,20,310,20
4178,270,60,270,60
4179,70,160,70,160
4180,50,200,50,200
4181,410,0,410,0
4182,60,180,60,180
4183,280,50,280,50
4184,410,0,410,0
4185,410,0,410,0
4186,30,220,30,220
4187,270,50,270,50
4188,0,240,0,240
4189,0,240,0,240
4190,310,20,310,20
4191,300,30,300,30
4192,410,0,410,0
4193,250,70,250,70
4194,260,70,260,70
4195,50,200,50,200
4196,260,70,260,70
4197,250,70,250,70
4198,30,220,30,220
4199,40,210,40,210
4200,50,190,50,190
4201,290,30,290,30
4202,0,240,0,240
4203,0,240,0,240
4204,80,160,80,160
4205,260,60,260,60
4206,250,60,250,60
4207,250,70,250,70
4208,70,170,70,170
4209,40,200,40,200
4210,40,200,40,200
4211,60,180,60,180
4212,270,50,270,50
4213,40,200,40,200
4214,260,50,260,50
4215,40,200,40,200
4216,80,160,80,160
4217,0,330,0,330
4218,410,0,410,0
4219,0,240,0,240
4220,280,40,280,40
4221,0,240,0,240
4222,260,60,260,60
4223,0,240,0,240
4224,290,30,290,30
4225,90,160,90,160
4226,280,40,280,40
4227,260,60,260,60
4228,20,220,20,220
4229,50,190,50,190
4230,250,70,250,70
4231,0,250,0,250
4232,300,20,300,20
4233,80,170,80,170
4234,60,180,60,180
4235,290,30,290,30
4236,280,40,280,40
4237,50,190,50,190
4238,40,200,40,200
4239,0,330,0,330
4240,260,60,260,60
4241,20,220,20,220
4242,80,160,80,160
4243,50,190,50,190
4244,80,170,80,170
4245,280,40,280,40
4246,0,240,0,240
4247,280,40,280,40
4248,60,190,60,190
4249,60,180,60,180
4250,250,70,250,70
4251,10,220,10,220
4252,0,330,0,330
4253,0,240,0,240
4254,40,200,40,200
4255,60,180,60,180
4256,30,220,30,220
4257,40,200,40,200
4258,0,330,0,330
4259,410,0,410,0
4260,20,220,20,220
4261,60,170,60,170
4262,0,240,0,240
4263,10,230,10,230
4264,0,240,0,240
4265,310,10,310,10
4266,70,170,70,170
4267,0,330,0,330
4268,280,40,280,40
4269,50,190,50,190
4270,0,330,0,330
4271,300,20,300,20
4272,80,160,80,160
4273,0,330,0,330
4274,50,190,50,190
4275,10,230,10,230
4276,270,60,270,60
4277,260,60,260,60
4278,60,190,60,190
4279,410,0,410,0
4280,70,160,70,160
4281,90,160,90,160
4282,80,160,80,160
4283,280,40,280,40
4284,50,190,50,190
4285,410,0,410,0
4286,30,200,30,200
4287,70,170,70,170
4288,0,240,0,240
4289,280,40,280,40
4290,410,0,410,0
4291,280,40,280,40
4292,20,220,20,220
4293,80,170,80,170
4294,60,190,60,190
4295,0,240,0,240
4296,270,50,270,50
4297,260,60,260,60
4298,80,160,80,160
4299,70,170,70,170
4300,70,180,70,180
4301,280,40,280,40
4302,10,230,10,230
4303,0,330,0,330
4304,280,30,280,30
4305,70,170,70,170
4306,410,0,410,0
4307,0,240,0,240
4308,260,60,260,60
4309,40,200,40,200
4310,410,0,410,0
4311,410,0,410,0
4312,310,10,310,10
4313,20,230,20,230
4314,60,180,60,180
4315,410,0,410,0
4316,0,240,0,240
4317,60,190,60,190
4318,60,190,60,190
4319,40,210,40,210
4320,300,20,300,20
4321,20,220,20,220
4322,280,50,280,50
4323,310,20,310,20
4324,0,330,0,330
4325,410,0,410,0
4326,410,0,410,0
4327,0,330,0,330
4328,20,220,20,220
4329,10,230,10,230
4330,60,180,60,180
4331,260,70,260,70
4332,290,30,290,30
4333,70,170,70,170
4334,0,330,0,330
4335,0,330,0,330
4336,0,250,0,250
4337,70,180,70,180
4338,250,70,250,70
4339,80,170,80,170
4340,250,70,250,70
4341,40,210,40,210
4342,50,200,50,200
4343,270,50,270,50
4344,0,330,0,330
4345,260,60,260,60
4346,20,220,20,220
4347,30,210,30,210
4348,0,330,0,330
4349,80,160,80,160
4350,80,160,80,160
4351,300,30,300,30
4352,270,50,270,50
4353,30,210,30,210
4354,50,190,50,190
4355,260,60,260,60
4356,260,60,260,60
4357,410,0,410,0
4358,0,240,0,240
4359,270,60,270,60
4360,0,330,0,330
4361,280,40,280,40
4362,0,240,0,240
4363,0,330,0,330
4364,270,50,270,50
4365,280,40,280,40
4366,410,0,410,0
4367,70,160,70,160
4368,0,330,0,330
4369,80,160,80,160
4370,260,60,260,60
4371,300,20,300,20
4372,0,330,0,330
4373,70,170,70,170
4374,310,10,310,10
4375,90,160,90,160
4376,270,50,270,50
4377,0,330,0,330
4378,50,190,50,190
4379,40,200,40,200
4380,80,170,80,170
4381,410,0,410,0
4382,60,180,60,180
4383,0,330,0,330
4384,300,30,300,30
4385,300,20,300,20
4386,0,330,0,330
4387,40,210,40,210
4388,410,0,410,0
4389,290,40,290,40
4390,260,70,260,70
4391,90,160,90,160
4392,70,180,70,180
4393,70,170,70,170
4394,310,10,310,10
4395,0,240,0,240
4396,280,40,280,40
4397,60,190,60,190
4398,0,240,0,240
4399,310,10,310,10
4400,20,220,20,220
4401,250,60,250,60
4402,80,160,80,160
4403,70,160,70,160
4404,260,60,260,60
4405,250,70,250,70
4406,70,180,70,180
4407,410,0,410,0
4408,10,230,10,230
4409,40,200,40,200
4410,80,170,80,170
4411,0,330,0,330
4412,70,180,70,180
4413,60,170,60,170
4414,410,0,410,0
4415,40,200,40,200
4416,270,50,270,50
4417,80,160,80,160
4418,10,240,10,240
4419,40,210,40,210
4420,0,330,0,330
4421,310,10,310,10
4422,280,50,280,50
4423,40,200,40,200
4424,40,210,40,210
4425,250,70,250,70
4426,0,240,0,240
4427,270,50,270,50
4428,60,180,60,180
4429,0,330,0,330
4430,250,70,250,70
4431,80,160,80,160
4432,300,20,300,20
4433,290,30,290,30
4434,0,240,0,240
4435,0,240,0,240
4436,80,160,80,160
4437,410,0,410,0
4438,60,180,60,180
4439,0,240,0,240
4440,0,330,0,330
4441,20,220,20,220
4442,20,220,20,220
4443,290,40,290,40
4444,250,70,250,70
4445,300,30,300,30
4446,0,330,0,330
4447,60,180,60,180
4448,30,220,30,220
4449,260,60,260,60
4450,410,0,410,0
4451,30,210,30,210
4452,240,70,240,70
4453,40,200,40,200
4454,310,20,310,20
4455,410,0,410,0
4456,0,330,0,330
4457,60,170,60,170
4458,20,230,20,230
4459,280,30,280,30
4460,90,160,90,160
4461,260,70,260,70
4462,70,170,70,170
4463,410,0,410,0
4464,70,170,70,170
4465,310,20,310,20
4466,20,230,20,230
4467,260,60,260,60
4468,60,180,60,180
4469,280,30,280,30
4470,60,190,60,190
4471,30,210,30,210
4472,60,190,60,190
4473,20,220,20,220
4474,40,200,40,200
4475,260,70,260,70
4476,280,40,280,40
4477,80,170,80,170
4478,0,240,0,240
4479,10,240,10,240
4480,10,230,10,230
4481,240,70,240,70
4482,0,330,0,330
4483,280,50,280,50
4484,60,180,60,180
4485,280,40,280,40
4486,290,30,290,30
4487,90,160,90,160
4488,410,0,410,0
4489,300,30,300,30
4490,60,190,60,190
4491,30,220,30,220
4492,50,200,50,200
4493,410,0,410,0
4494,60,180,60,180
4495,20,220,20,220
4496,410,0,410,0
4497,30,210,30,210
4498,0,330,0,330
4499,20,220,20,220
4500,280,40,280,40
4501,280,40,280,40
4502,250,70,250,70
4503,80,160,80,160
4504,0,330,0,330
4505,260,60,260,60
4506,80,160,80,160
4507,50,200,50,200
4508,60,190,60,190
4509,90,160,90,160
4510,410,0,410,0
4511,250,70,250,70
4512,30,210,30,210
4513,410,0,410,0
4514,0,330,0,330
4515,410,0,410,0
4516,0,240,0,240
4517,20,220,20,220
4518,80,160,80,160
4519,20,220,20,220
4520,70,170,70,170
4521,300,30,300,30
4522,80,160,80,160
4523,30,210,30,210
4524,290,30,290,30
4525,0,240,0,240
4526,70,170,70,170
4527,410,0,410,0
4528,410,0,410,0
4529,280,40,280,40
4530,40,200,40,200
4531,0,250,0,250
4532,40,200,40,200
4533,290,30,290,30
4534,280,40,280,40
4535,30,210,30,210
4536,410,0,410,0
4537,70,170,70,170
4538,80,160,80,160
4539,20,220,20,220
4540,40,210,40,210
4541,10,230,10,230
4542,270,60,270,60
4543,260,60,260,60
4544,310,10,310,10
4545,310,10,310,10
4546,40,200,40,200
4547,70,180,70,180
4548,270,60,270,60
4549,260,70,260,70
4550,50,190,50,190
4551,0,240,0,240
4552,410,0,410,0
4553,300,20,300,20
4554,310,20,310,20
4555,290,40,290,40
4556,40,190,40,190
4557,50,190,50,190
4558,30,220,30,220
4559,80,170,80,170
4560,280,40,280,40
4561,80,160,80,160
4562,310,10,310,10
4563,60,190,60,190
4564,40,200,40,200
4565,290,30,290,30
4566,40,190,40,190
4567,30,210,30,210
4568,410,0,410,0
4569,250,70,250,70
4570,410,0,410,0
4571,0,240,0,240
4572,30,210,30,210
4573,0,240,0,240
4574,310,10,310,10
4575,0,240,0,240
4576,80,160,80,160
4577,260,60,260,60
4578,40,200,40,200
4579,310,20,310,20
4580,410,0,410,0
4581,30,210,30,210
4582,0,240,0,240
4583,0,330,0,330
4584,80,160,80,160
4585,60,190,60,190
4586,0,240,0,240
4587,280,50,280,50
4588,300,20,300,20
4589,270,60,270,60
4590,410,0,410,0
4591,290,30,290,30
4592,260,50,260,50
4593,0,240,0,240
4594,50,190,50,190
4595,270,50,270,50
4596,60,190,60,190
4597,270,60,270,60
4598,0,330,0,330
4599,260,70,260,70
4600,260,60,260,60
4601,310,10,310,10
4602,270,40,270,40
4603,410,0,410,0
4604,260,60,260,60
4605,20,230,20,230
4606,260,60,260,60
4607,20,220,20,220
4608,0,330,0,330
4609,20,220,20,220
4610,410,0,410,0
4611,280,50,280,50
4612,70,170,70,170
4613,0,240,0,240
4614,260,60,260,60
4615,410,0,410,0
4616,60,180,60,180
4617,20,220,20,220
4618,290,30,290,30
4619,290,30,290,30
4620,10,230,10,230
4621,70,170,70,170
4622,250,70,250,70
4623,260,70,260,70
4624,0,330,0,330
4625,300,20,300,20
4626,60,190,60,190
4627,10,230,10,230
4628,50,190,50,190
4629,40,210,40,210
4630,20,230,20,230
4631,50,190,50,190
4632,270,60,270,60
4633,10,230,10,230
4634,270,50,270,50
4635,0,330,0,330
4636,260,60,260,60
4637,290,30,290,30
4638,410,0,410,0
4639,80,170,80,170
4640,300,20,300,20
4641,50,180,50,180
4642,60,190,60,190
4643,300,30,300,30
4644,80,160,80,160
4645,260,60,260,60
4646,280,50,280,50
4647,0,240,0,240
4648,40,210,40,210
4649,280,40,280,40
4650,300,30,300,30
4651,80,160,80,160
4652,60,190,60,190
4653,0,330,0,330
4654,0,240,0,240
4655,10,230,10,230
4656,0,330,0,330
4657,70,180,70,180
4658,0,240,0,240
4659,80,160,80,160
4660,40,200,40,200
4661,250,70,250,70
4662,280,50,280,50
4663,410,0,410,0
4664,40,200,40,200
4665,90,160,90,160
4666,300,20,300,20
4667,260,60,260,60
4668,410,0,410,0
4669,290,30,290,30
4670,30,220,30,220
4671,290,30,290,30
4672,0,240,0,240
4673,30,220,30,220
4674,30,210,30,210
4675,300,30,300,30
4676,280,40,280,40
4677,0,330,0,330
4678,410,0,410,0
4679,80,160,80,160
4680,40,200,40,200
4681,0,240,0,240
4682,80,170,80,170
4683,60,180,60,180
4684,410,0,410,0
4685,0,240,0,240
4686,80,170,80,170
4687,270,50,270,50
4688,70,180,70,180
4689,70,170,70,170
4690,80,170,80,170
4691,250,70,250,70
4692,310,10,310,10
4693,410,0,410,0
4694,50,190,50,190
4695,0,240,0,240
4696,0,240,0,240
4697,250,70,250,70
4698,280,40,280,40
4699,0,240,0,240
4700,40,210,40,210
4701,410,0,410,0
4702,80,160,80,160
4703,280,40,280,40
4704,10,230,10,230
4705,300,20,300,20
4706,0,250,0,250
4707,410,0,410,0
4708,70,170,70,170
4709,290,20,290,20
4710,300,20,300,20
4711,90,160,90,160
4712,30,210,30,210
4713,260,60,260,60
4714,0,240,0,240
4715,310,10,310,10
4716,250,70,250,70
4717,410,0,410,0
4718,260,60,260,60
4719,290,30,290,30
4720,410,0,410,0
4721,0,330,0,330
4722,60,180,60,180
4723,410,0,410,0
4724,70,170,70,170
4725,10,240,10,240
4726,80,160,80,160
4727,410,0,410,0
4728,280,50,280,50
4729,250,70,250,70
4730,70,180,70,180
4731,410,0,410,0
4732,270,60,270,60
4733,260,60,260,60
4734,290,40,290,40
4735,300,20,300,20
4736,80,170,80,170
4737,60,180,60,180
4738,0,330,0,330
4739,310,10,310,10
4740,300,20,300,20
4741,280,40,280,40
4742,10,230,10,230
4743,310,10,310,10
4744,20,220,20,220
4745,60,170,60,170
4746,40,200,40,200
4747,410,0,410,0
4748,60,170,60,170
4749,250,70,250,70
4750,310,10,310,10
4751,410,0,410,0
4752,60,190,60,190
4753,80,170,80,170
4754,60,180,60,180
4755,50,200,50,200
4756,40,200,40,200
4757,280,50,280,50
4758,80,160,80,160
4759,270,60,270,60
4760,20,220,20,220
4761,20,220,20,220
4762,0,330,0,330
4763,20,230,20,230
4764,50,200,50,200
4765,0,240,0,240
4766,60,190,60,190
4767,60,190,60,190
4768,410,0,410,0
4769,40,200,40,200
4770,280,50,280,50
4771,290,40,290,40
4772,410,0,410,0
4773,30,210,30,210
4774,310,10,310,10
4775,70,170,70,170
4776,70,180,70,180
4777,410,0,410,0
4778,20,220,20,220
4779,0,330,0,330
4780,0,240,0,240
4781,260,60,260,60
4782,90,160,90,160
4783,0,240,0,240
4784,280,40,280,40
4785,30,210,30,210
4786,410,0,410,0
4787,310,20,310,20
4788,250,70,250,70
4789,40,210,40,210
4790,60,180,60,180
4791,10,240,10,240
4792,280,30,280,30
4793,40,200,40,200
4794,410,0,410,0
4795,410,0,410,0
4796,0,330,0,330
4797,90,160,90,160
4798,60,190,60,190
4799,310,10,310,10
4800,10,230,10,230
4801,410,0,410,0
4802,410,0,410,0
4803,300,20,300,20
4804,280,50,280,50
4805,410,0,410,0
4806,0,240,0,240
4807,280,40,280,40
4808,60,190,60,190
4809,300,30,300,30
4810,0,240,0,240
4811,30,220,30,220
4812,40,200,40,200
4813,60,180,60,180
4814,40,200,40,200
4815,40,200,40,200
4816,310,10,310,10
4817,280,40,280,40
4818,0,330,0,330
4819,260,60,260,60
4820,60,180,60,180
4821,280,50,280,50
4822,0,240,0,240
4823,50,190,50,190
4824,20,220,20,220
4825,260,60,260,60
4826,0,240,0,240
4827,30,210,30,210
4828,310,10,310,10
4829,80,160,80,160
4830,10,240,10,240
4831,410,0,410,0
4832,70,170,70,170
4833,50,190,50,190
4834,0,240,0,240
4835,60,190,60,190
4836,40,210,40,210
4837,0,240,0,240
4838,80,160,80,160
4839,260,70,260,70
4840,410,0,410,0
4841,0,330,0,330
4842,0,240,0,240
4843,50,190,50,190
4844,410,0,410,0
4845,0,240,0,240
4846,410,0,410,0
4847,410,0,410,0
4848,30,220,30,220
4849,20,220,20,220
4850,280,40,280,40
4851,40,200,40,200
4852,250,70,250,70
4853,260,60,260,60
4854,0,240,0,240
4855,80,160,80,160
4856,410,0,410,0
4857,60,180,60,180
4858,0,330,0,330
4859,260,60,260,60
4860,410,0,410,0
4861,300,20,300,20
4862,300,30,300,30
4863,60,180,60,180
4864,260,60,260,60
4865,90,160,90,160
4866,0,240,0,240
4867,300,20,300,20
4868,50,200,50,200
4869,50,190,50,190
4870,290,30,290,30
4871,410,0,410,0
4872,50,200,50,200
4873,410,0,410,0
4874,410,0,410,0
4875,60,190,60,190
4876,70,170,70,170
4877,0,240,0,240
4878,270,50,270,50
4879,70,170,70,170
4880,20,220,20,220
4881,270,60,270,60
4882,0,330,0,330
4883,290,40,290,40
4884,30,200,30,200
4885,40,200,40,200
4886,50,200,50,200
4887,300,20,300,20
4888,0,330,0,330
4889,250,70,250,70
4890,320,0,320,0
4891,250,70,250,70
4892,260,60,260,60
4893,50,190,50,190
4894,60,170,60,170
4895,10,230,10,230
4896,250,70,250,70
4897,70,170,70,170
4898,90,160,90,160
4899,20,220,20,220
4900,0,330,0,330
4901,260,60,260,60
4902,20,230,20,230
4903,270,50,270,50
4904,0,240,0,240
4905,30,220,30,220
4906,0,330,0,330
4907,40,200,40,200
4908,40,200,40,200
4909,260,60,260,60
4910,410,0,410,0
4911,0,330,0,330
4912,260,60,260,60
4913,80,160,80,160
4914,90,160,90,160
4915,0,240,0,240
4916,280,40,280,40
4917,50,190,50,190
4918,30,210,30,210
4919,250,70,250,70
4920,80,160,80,160
4921,0,330,0,330
4922,50,190,50,190
4923,280,40,280,40
4924,40,200,40,200
4925,410,0,410,0
4926,0,330,0,330
4927,310,10,310,10
4928,80,160,80,160
4929,410,0,410,0
4930,260,70,260,70
4931,290,30,290,30
4932,300,20,300,20
4933,50,200,50,200
4934,60,180,60,180
4935,270,60,270,60
4936,0,240,0,240
4937,280,40,280,40
4938,0,330,0,330
4939,40,200,40,200
4940,300,30,300,30
4941,50,190,50,190
4942,410,0,410,0
4943,290,20,290,20
4944,40,200,40,200
4945,40,210,40,210
4946,280,50,280,50
4947,0,250,0,250
4948,70,170,70,170
4949,80,160,80,160
4950,90,160,90,160
4951,50,200,50,200
4952,300,20,300,20
4953,40,200,40,200
4954,10,230,10,230
4955,280,40,280,40
4956,310,20,310,20
4957,280,40,280,40
4958,290,30,290,30
4959,270,60,270,60
4960,250,70,250,70
4961,260,60,260,60
4962,270,50,270,50
4963,0,330,0,330
4964,60,190,60,190
4965,70,170,70,170
4966,80,160,80,160
4967,410,0,410,0
4968,0,240,0,240
4969,40,210,40,210
4970,0,330,0,330
4971,290,30,290,30
4972,0,240,0,240
4973,80,170,80,170
4974,270,50,270,50
4975,50,200,50,200
4976,40,200,40,200
4977,20,220,20,220
4978,20,220,20,220
4979,310,10,310,10
4980,10,220,10,220
4981,0,240,0,240
4982,250,70,250,70
4983,270,50,270,50
4984,280,40,280,40
4985,310,10,310,10
4986,40,200,40,200
4987,70,170,70,170
4988,280,50,280,50
4989,290,30,290,30
4990,280,40,280,40
4991,60,190,60,190
4992,0,330,0,330
4993,40,200,40,200
4994,0,330,0,330
4995,300,20,300,20
4996,30,200,30,200
4997,40,210,40,210
4998,60,180,60,180
4999,260,70,260,70
5000,410,0,410,0
5001,20,220,20,220
5002,0,240,0,240
5003,250,70,250,70
5004,30,210,30,210
5005,0,330,0,330
5006,410,0,410,0
5007,300,20,300,20
5008,260,60,260,60
5009,60,180,60,180
5010,70,180,70,180
5011,250,70,250,70
5012,70,170,70,170
5013,300,20,300,20
5014,280,40,280,40
5015,70,170,70,170
5016,0,240,0,240
5017,260,70,260,70
5018,270,50,270,50
5019,410,0,410,0
5020,280,50,280,50
5021,0,330,0,330
5022,270,50,270,50
5023,40,200,40,200
5024,280,40,280,40
5025,260,60,260,60
5026,0,330,0,330
5027,310,10,310,10
5028,290,30,290,30
5029,50,180,50,180
5030,300,20,300,20
5031,410,0,410,0
5032,30,210,30,210
5033,300,20,300,20
5034,410,0,410,0
5035,0,240,0,240
5036,0,240,0,240
5037,310,10,310,10
5038,0,240,0,240
5039,30,210,30,210
5040,0,330,0,330
5041,260,60,260,60
5042,20,210,20,210
5043,20,230,20,230
5044,50,200,50,200
5045,410,0,410,0
5046,260,70,260,70
5047,0,330,0,330
5048,300,20,300,20
5049,280,40,280,40
5050,260,60,260,60
5051,260,60,260,60
5052,20,230,20,230
5053,290,30,290,30
5054,0,330,0,330
5055,310,10,310,10
5056,410,0,410,0
5057,0,330,0,330
5058,0,330,0,330
5059,80,160,80,160
5060,40,190,40,190
5061,80,160,80,160
5062,300,20,300,20
5063,410,0,410,0
5064,0,330,0,330
5065,280,40,280,40
5066,290,30,290,30
5067,410,0,410,0
5068,70,170,70,170
5069,20,220,20,220
5070,260,60,260,60
5071,10,230,10,230
5072,0,250,0,250
5073,50,190,50,190
5074,250,70,250,70
5075,0,250,0,250
5076,290,30,290,30
5077,280,40,280,40
5078,320,10,320,10
5079,20,210,20,210
5080,50,190,50,190
5081,20,220,20,220
5082,50,190,50,190
5083,50,190,50,190
5084,410,0,410,0
5085,300,30,300,30
5086,280,40,280,40
5087,290,30,290,30
5088,280,50,280,50
5089,300,20,300,20
5090,10,230,10,230
5091,260,60,260,60
5092,20,220,20,220
5093,20,220,20,220
5094,0,240,0,240
5095,70,170,70,170
5096,40,210,40,210
5097,60,180,60,180
5098,0,240,0,240
5099,30,210,30,210
5100,50,190,50,190
5101,80,160,80,160
5102,30,210,30,210
5103,80,160,80,160
5104,80,160,80,160
5105,310,10,310,10
5106,410,0,410,0
5107,260,60,260,60
5108,30,210,30,210
5109,250,70,250,70
5110,50,190,50,190
5111,410,0,410,0
5112,20,220,20,220
5113,40,200,40,200
5114,0,240,0,240
5115,70,170,70,170
5116,60,190,60,190
5117,410,0,410,0
5118,70,170,70,170
5119,40,200,40,200
5120,280,50,280,50
5121,20,220,20,220
5122,410,0,410,0
5123,0,240,0,240
5124,60,190,60,190
5125,270,60,270,60
5126,0,330,0,330
5127,280,40,280,40
5128,310,10,310,10
5129,270,60,270,60
5130,20,220,20,220
5131,80,170,80,170
5132,250,70,250,70
5133,50,190,50,190
5134,270,50,270,50
5135,0,240,0,240
5136,80,170,80,170
5137,310,20,310,20
5138,40,200,40,200
5139,50,190,50,190
5140,290,30,290,30
5141,300,20,300,20
5142,60,190,60,190
5143,270,50,270,50
5144,20,220,20,220
5145,10,230,10,230
5146,80,160,80,160
5147,280,40,280,40
5148,0,240,0,240
5149,410,0,410,0
5150,50,200,50,200
5151,290,30,290,30
5152,80,160,80,160
5153,0,330,0,330
5154,410,0,410,0
5155,410,0,410,0
5156,0,330,0,330
5157,20,220,20,220
5158,250,70,250,70
5159,250,70,250,70
5160,40,200,40,200
5161,250,60,250,60
5162,80,160,80,160
5163,20,230,20,230
5164,410,0,410,0
5165,70,170,70,170
5166,80,160,80,160
5167,250,70,250,70
5168,70,160,70,160
5169,290,40,290,40
5170,250,70,250,70
5171,280,50,280,50
5172,20,220,20,220
5173,410,0,410,0
5174,270,60,270,60
5175,280,40,280,40
5176,80,160,80,160
5177,260,60,260,60
5178,310,10,310,10
5179,250,60,250,60
5180,20,220,20,220
5181,10,230,10,230
5182,80,160,80,160
5183,0,240,0,240
5184,280,40,280,40
5185,260,70,260,70
5186,60,190,60,190
5187,40,200,40,200
5188,0,250,0,250
5189,50,180,50,180
5190,300,20,300,20
5191,50,190,50,190
5192,410,0,410,0
5193,290,30,290,30
5194,280,30,280,30
5195,260,60,260,60
5196,410,0,410,0
5197,410,0,410,0
5198,70,180,70,180
5199,60,180,60,180
5200,0,240,0,240
5201,270,50,270,50
5202,270,50,270,50
5203,0,330,0,330
5204,80,160,80,160
5205,270,60,270,60
5206,80,160,80,160
5207,270,50,270,50
5208,0,240,0,240
5209,300,30,300,30
5210,0,330,0,330
5211,410,0,410,0
5212,60,190,60,190
5213,0,240,0,240
5214,80,160,80,160
5215,80,160,80,160
5216,30,210,30,210
5217,410,0,410,0
5218,310,20,310,20
5219,270,50,270,50
5220,0,330,0,330
5221,20,230,20,230
5222,290,40,290,40
5223,270,50,270,50
5224,270,60,270,60
5225,60,180,60,180
5226,40,200,40,200
5227,80,160,80,160
5228,0,330,0,330
5229,50,190,50,190
5230,280,40,280,40
5231,0,250,0,250
5232,0,330,0,330
5233,80,160,80,160
5234,260,60,260,60
5235,270,60,270,60
5236,0,330,0,330
5237,310,20,310,20
5238,270,60,270,60
5239,410,0,410,0
5240,40,200,40,200
5241,280,40,280,40
5242,70,170,70,170
5243,250,70,250,70
5244,290,30,290,30
5245,410,0,410,0
5246,50,200,50,200
5247,20,220,20,220
5248,250,70,250,70
5249,310,10,310,10
5250,260,60,260,60
5251,30,220,30,220
5252,290,40,290,40
5253,410,0,410,0
5254,40,200,40,200
5255,410,0,410,0
5256,70,170,70,170
5257,410,0,410,0
5258,90,160,90,160
5259,260,60,260,60
5260,270,50,270,50
5261,290,30,290,30
5262,270,50,270,50
5263,40,200,40,200
5264,80,160,80,160
5265,280,40,280,40
5266,410,0,410,0
5267,300,20,300,20
5268,50,200,50,200
5269,40,210,40,210
5270,0,250,0,250
5271,260,70,260,70
5272,310,20,310,20
5273,0,240,0,240
5274,300,20,300,20
5275,410,0,410,0
5276,0,240,0,240
5277,260,60,260,60
5278,410,0,410,0
5279,70,170,70,170
5280,40,200,40,200
5281,70,190,70,190
5282,410,0,410,0
5283,30,210,30,210
5284,70,170,70,170
5285,80,160,80,160
5286,260,60,260,60
5287,260,70,260,70
5288,70,180,70,180
5289,60,180,60,180
5290,50,190,50,190
5291,60,180,60,180
5292,250,70,250,70
5293,80,160,80,160
5294,280,50,280,50
5295,0,240,0,240
5296,250,70,250,70
5297,80,160,80,160
5298,20,220,20,220
5299,300,10,300,10
5300,0,240,0,240
5301,0,330,0,330
5302,0,240,0,240
5303,50,200,50,200
5304,40,200,40,200
5305,270,40,270,40
5306,270,50,270,50
5307,250,70,250,70
5308,80,170,80,170
5309,280,50,280,50
5310,310,10,310,10
5311,40,210,40,210
5312,270,60,270,60
5313,10,240,10,240
5314,300,30,300,30
5315,290,30,290,30
5316,70,170,70,170
5317,0,240,0,240
5318,260,60,260,60
5319,0,240,0,240
5320,410,0,410,0
5321,50,200,50,200
5322,20,210,20,210
5323,410,0,410,0
5324,10,230,10,230
5325,0,240,0,240
5326,60,190,60,190
5327,0,240,0,240
5328,280,50,280,50
5329,40,200,40,200
5330,290,30,290,30
5331,0,330,0,330
5332,270,50,270,50
5333,0,330,0,330
5334,260,50,260,50
5335,300,20,300,20
5336,300,10,300,10
5337,50,190,50,190
5338,250,70,250,70
5339,410,0,410,0
5340,0,250,0,250
5341,0,330,0,330
5342,290,40,290,40
5343,410,0,410,0
5344,50,200,50,200
5345,20,220,20,220
5346,60,190,60,190
5347,80,160,80,160
5348,20,210,20,210
5349,30,210,30,210
5350,60,180,60,180
5351,270,60,270,60
5352,40,200,40,200
5353,410,0,410,0
5354,70,180,70,180
5355,280,40,280,40
5356,310,10,310,10
5357,250,70,250,70
5358,70,170,70,170
5359,250,70,250,70
5360,60,180,60,180
5361,310,10,310,10
5362,280,40,280,40
5363,60,190,60,190
5364,250,70,250,70
5365,0,330,0,330
5366,260,60,260,60
5367,290,30,290,30
5368,40,210,40,210
5369,290,20,290,20
5370,80,160,80,160
5371,10,230,10,230
5372,410,0,410,0
5373,0,240,0,240
5374,70,180,70,180
